season,track,type,races,uniquedrivers
2023S1,roadamerica,road,61,572
2023S1,autoclub,oval,34,285
2023S1,spa,road,62,520
2023S1,richmond,oval,7,67
2023S1,redbullring,road,34,243
2023S1,brandshatch,road,11,74
2023S1,homestead,oval,16,98
2023S1,watkinsglen,road,65,541
2023S1,newhampshire,oval,3,37
2023S1,rudskogen,road,9,56
2023S1,sebring,road,27,212
2023S1,pocono,oval,14,96
2022S4,lagunaseca,road,66,603
2022S4,michigan,oval,56,447
2022S4,longbeach,road,44,406
2022S4,phoenix,oval,22,150
2022S4,mosport,road,38,269
2022S4,phillipisland,road,15,135
2022S4,newhampshire,oval,10,91
2022S4,fuji,road,11,101
2022S4,barber,road,7,81
2022S4,indianapolis,oval,91,705
2022S4,watkinsglen,road,64,500
2022S4,texas,oval,21,142
2022S3,roadamerica,road,98,916
2022S3,michigan,oval,65,496
2022S3,midohio,road,33,310
2022S3,lemans,road,74,576
2022S3,motegi,oval,24,171
2022S3,iowa,oval,26,203
2022S3,indianapolis,road,75,654
2022S3,charlotte,oval,67,521
2022S3,sonoma,road,23,171
2022S3,worldwide,oval,15,117
2022S3,pocono,oval,24,182
2022S3,watkinsglen,road,95,768
2022S2,texas,oval,38,368
2022S2,roadatlanta,road,50,405
2022S2,phoenix,oval,32,222
2022S2,longbeach,road,64,581
2022S2,autoclub,oval,74,521
2022S2,nordschleife,road,117,748
2022S2,barber,road,40,328
2022S2,milwaukee,oval,17,129
2022S2,indianapolis,road,47,442
2022S2,lasvegas,oval,26,197
2022S2,indianapolis,oval,108,962
2022S2,detroit,road,60,501
2022S1,roadamerica,road,96,880
2022S1,michigan,oval,68,484
2022S1,spa,road,109,887
2022S1,iowa,oval,43,301
2022S1,midohio,road,31,263
2022S1,homestead,oval,27,211
2022S1,motegi,road,23,151
2022S1,richmond,oval,12,86
2022S1,watkinsglen,road,89,751
2022S1,worldwide,oval,13,101
2022S1,sebring,road,47,393
2022S1,pocono,oval,43,322
2021S4,lagunaseca,road,66,679
2021S4,longbeach,road,66,600
2021S4,phoenix,oval,19,160
2021S4,nashville,oval,6,63
2021S4,zandvoort,road,30,217
2021S4,autoclub,oval,21,183
2021S4,redbullring,road,61,561
2021S4,newhampshire,oval,8,71
2021S4,montreal,road,28,236
2021S4,indianapolis,oval,66,527
2021S4,mosport,road,31,206
2021S4,texas,oval,21,142
2021S3,roadamerica,road,110,885
2021S3,michigan,oval,60,404
2021S3,midohio,road,58,286
2021S3,iowa,oval,43,185
2021S3,hockenheim,road,50,250
2021S3,charlotte,oval,62,374
2021S3,phillipisland,road,40,132
2021S3,richmond,oval,32,102
2021S3,indianapolis,road,57,309
2021S3,worldwide,oval,39,78
2021S3,watkinsglen,road,90,559
2021S3,pocono,oval,52,223
2021S2,autoclub,oval,70,437
2021S2,nordschleife,road,104,629
2021S2,motegi,oval,50,251
2021S2,longbeach,road,51,348
2021S2,barber,road,39,229
2021S2,milwaukee,oval,22,110
2021S2,texas,oval,48,317
2021S2,cota,road,50,261
2021S2,indianapolis,road,65,490
2021S2,atlanta,oval,46,207
2021S2,indianapolis,oval,105,837
2021S2,detroit,road,48,293
2021S1,roadamerica,road,90,757
2021S1,michigan,oval,74,581
2021S1,spa,road,113,871
2021S1,homestead,oval,51,417
2021S1,longbeach,road,44,360
2021S1,worldwide,oval,19,153
2021S1,bathurst,road,32,232
2021S1,iowa,oval,33,245
2021S1,watkinsglen,road,55,451
2021S1,richmond,oval,14,98
2021S1,sebring,road,33,278
2021S1,pocono,oval,35,252
2020S4,lagunaseca,road,39,293
2020S4,autoclub,oval,62,389
2020S4,lasvegas,oval,48,321
2020S4,sonoma,road,9,71
2020S4,phoenix,oval,22,158
2020S4,roadatlanta,road,22,167
2020S4,dover,oval,22,146
2020S4,mosport,road,13,84
2020S4,indianapolis,oval,142,953
2020S4,detroit,road,19,126
2020S4,texas,oval,39,278
2020S4,daytona,road,43,335
2020S3,texas,oval,56,432
2020S3,roadamerica,road,48,380
2020S3,richmond,oval,22,140
2020S3,motegi,road,8,77
2020S3,montreal,road,18,142
2020S3,iowa,oval,33,210
2020S3,suzuka,road,20,142
2020S3,charlotte,oval,59,447
2020S3,midohio,road,9,82
2020S3,watkinsglen,road,30,231
2020S3,michigan,oval,49,349
2020S3,worldwide,oval,13,79
2020S3,monza,road,61,427
2020S2,autoclub,oval,28,223
2020S2,silverstone,road,21,165
2020S2,pocono,oval,37,281
2020S2,barber,road,28,233
2020S2,nordschleife,road,109,648
2020S2,phoenix,oval,36,239
2020S2,cota,road,24,205
2020S2,milwaukee,oval,14,111
2020S2,indianapolis,road,44,366
2020S2,chicagoland,oval,50,358
2020S2,indianapolis,oval,154,1155
2020S2,detroit,road,27,167
